ticket_id,created_date,assigned_to,priority,status,first_response_date,resolution_date,category,team,customer_tier,escalated,escalation_date,satisfaction_score
T-2024-026,2025-07-08T21:13:42.509Z,mike.wilson@company.com,Medium,Resolved,2025-07-09T18:29:32.104Z,2025-07-10T05:43:50.105Z,Bug,Technical,Free,false,"",5
T-2024-027,2025-07-20T10:17:09.931Z,mike.wilson@company.com,High,Open,2025-07-20T21:34:13.321Z,"",Question,Billing,Enterprise,false,"",4
T-2024-028,2025-07-24T05:59:21.212Z,john.doe@company.com,Medium,Closed,2025-07-24T17:45:29.230Z,2025-07-25T19:06:04.583Z,Account Issue,General,Enterprise,false,"",""
T-2024-029,2025-07-21T04:14:26.226Z,john.doe@company.com,Critical,Resolved,2025-07-21T11:13:55.304Z,2025-07-23T12:56:25.776Z,Technical Issue,Billing,Enterprise,false,"",4
T-2024-030,2025-07-25T04:26:27.346Z,jane.smith@company.com,Low,Closed,2025-07-25T06:46:33.259Z,2025-07-25T21:19:24.581Z,Bug,Sales,Pro,false,"",2
T-2024-031,2025-07-20T06:55:04.434Z,lisa.davis@company.com,Low,Open,2025-07-20T22:51:31.504Z,"",Bug,Sales,Pro,false,"",5
T-2024-032,2025-07-30T07:49:51.986Z,david.brown@company.com,High,Resolved,2025-07-30T15:45:54.436Z,2025-07-31T18:51:34.323Z,Account Issue,Technical,Free,false,"",5
T-2024-033,2025-07-20T12:57:05.634Z,jane.smith@company.com,Critical,Open,2025-07-21T00:28:40.712Z,"",Feature Request,General,Pro,false,"",3
T-2024-034,2025-07-06T12:31:29.973Z,sarah.jones@company.com,Critical,Open,2025-07-06T22:30:22.778Z,"",Account Issue,Sales,Enterprise,false,"",""
T-2024-035,2025-07-30T14:37:43.324Z,sarah.jones@company.com,Critical,Open,2025-07-31T03:37:00.930Z,"",Account Issue,Sales,Pro,true,2025-07-31T01:23:18.398Z,2
T-2024-036,2025-07-11T20:03:04.823Z,david.brown@company.com,Medium,Resolved,2025-07-12T03:26:48.384Z,2025-07-13T00:11:17.193Z,Technical Issue,Technical,Enterprise,false,"",5
T-2024-037,2025-07-31T02:14:57.271Z,sarah.jones@company.com,High,Closed,2025-07-31T10:32:35.138Z,2025-08-01T21:36:16.735Z,Feature Request,General,Pro,false,"",3
T-2024-038,2025-07-06T22:20:49.393Z,john.doe@company.com,Low,Resolved,2025-07-07T01:32:05.365Z,2025-07-07T17:17:26.404Z,Technical Issue,Sales,Pro,false,"",4
T-2024-039,2025-07-09T11:53:57.859Z,jane.smith@company.com,Low,In Progress,2025-07-10T08:23:32.903Z,"",Technical Issue,Sales,Pro,false,"",1
T-2024-040,2025-07-16T14:59:38.562Z,david.brown@company.com,Low,In Progress,2025-07-17T10:15:06.050Z,"",Account Issue,Technical,Pro,false,"",""
T-2024-041,2025-07-05T08:12:37.222Z,john.doe@company.com,Low,Resolved,2025-07-05T22:59:22.331Z,2025-07-06T17:20:07.312Z,Feature Request,Billing,Free,false,"",4
T-2024-042,2025-07-19T19:41:37.738Z,david.brown@company.com,Medium,In Progress,2025-07-20T15:38:05.235Z,"",Feature Request,Technical,Enterprise,false,"",""
T-2024-043,2025-07-21T13:07:40.482Z,jane.smith@company.com,Critical,Open,2025-07-22T10:31:40.829Z,"",Feature Request,Technical,Free,false,"",""
T-2024-044,2025-07-22T10:29:46.454Z,john.doe@company.com,High,In Progress,2025-07-23T03:09:17.380Z,"",Technical Issue,Billing,Enterprise,false,"",2
T-2024-045,2025-07-15T10:22:22.215Z,lisa.davis@company.com,Medium,Resolved,2025-07-16T05:14:22.378Z,2025-07-18T05:55:32.038Z,Bug,Sales,Enterprise,false,"",5
T-2024-046,2025-07-18T02:51:22.442Z,john.doe@company.com,Low,Open,2025-07-18T04:30:24.623Z,"",Bug,Sales,Pro,false,"",2
T-2024-047,2025-07-19T21:00:33.263Z,david.brown@company.com,Medium,Closed,2025-07-20T03:07:22.990Z,2025-07-21T21:36:31.956Z,Question,Technical,Free,false,"",2
T-2024-048,2025-07-24T15:45:04.251Z,mike.wilson@company.com,Low,Open,2025-07-25T03:10:11.723Z,"",Feature Request,Sales,Enterprise,false,"",2
T-2024-049,2025-07-18T14:53:10.359Z,david.brown@company.com,Critical,In Progress,2025-07-18T17:41:10.427Z,"",Technical Issue,Sales,Free,false,"",3
T-2024-050,2025-07-22T03:16:36.520Z,sarah.jones@company.com,Low,Closed,2025-07-22T08:36:09.011Z,2025-07-23T02:42:11.661Z,Bug,Sales,Enterprise,true,2025-07-22T10:17:45.440Z,1
